time,PV power,Direct-in-plane,Sun Height,Air Temperature,Wind speed
20200316:1011,244.35,289.04,27.01,6.06,4
20200316:1111,220.64,264.79,32.21,7.36,4.62
20200316:1211,236.71,283.5,35.03,8.09,5.03
20200316:1311,312.95,368.84,35.04,9.25,6.48
20200316:1411,142.58,179.88,32.25,9.57,6.21
20200316:1511,82.8,112.25,27.06,9.36,5.45
20200316:1611,11.37,25.14,20.1,9.15,5.1
20200316:1711,25.49,44,11.97,8.98,5.31
20200316:1811,0.25,6.29,3.17,8.86,5.1
20200316:1911,0,0,0,8.6,4.83
20200316:2011,0,0,0,8.66,4.62
20200316:2111,0,0,0,8.73,4.28
20200316:2211,0,0,0,8.82,3.93
20200316:2311,0,0,0,8.85,3.59
20200317:0011,0,0,0,8.59,3.45
20200317:0111,0,0,0,8.42,3.38
20200317:0211,0,0,0,8.05,3.31
20200317:0311,0,0,0,7.68,3.17
20200317:0411,0,0,0,7.58,3.1
20200317:0511,0,0,0,7.52,2.9
20200317:0611,0,0,0,7.31,2.83
20200317:0711,5.73,16.58,3.45,7.66,3.03
20200317:0811,70.73,98.29,12.26,8.01,2.97
20200317:0911,73.24,100.96,20.42,8.27,2.9
20200317:1011,46.76,70.04,27.4,8.42,2.83
20200317:1111,66.44,93.39,32.61,9.15,3.86
20200317:1211,145.37,183.51,35.43,9.7,4.83
20200317:1311,66.09,93.39,35.43,10.6,5.93
20200317:1411,23.74,42.2,32.61,11.83,5.72
20200317:1511,79.37,109.55,27.39,12.33,6.48
20200317:1611,22.32,40.41,20.41,12.23,6.28
20200317:1711,3.75,13.47,12.25,11.88,5.72
20200317:1811,0,2.69,3.44,11.28,4.55
20200317:1911,0,0,0,10.96,4.69
20200317:2011,0,0,0,10.02,3.59
20200317:2111,0,0,0,8.65,3.03
20200317:2211,0,0,0,7.42,2.48
20200317:2311,0,0,0,6.52,2.28
20200318:0011,0,0,0,5.98,2.14
20200318:0111,0,0,0,5.65,2
20200318:0211,0,0,0,5.34,2
20200318:0311,0,0,0,5.07,2
20200318:0411,0,0,0,4.8,1.93
20200318:0511,0,0,0,4.56,1.86
20200318:0611,0,0,0,4.31,1.86
20200318:0711,0,4.97,3.81,4.22,1.66
20200318:0811,14.93,29.63,12.63,4.29,1.72
20200318:0911,47.6,70.04,20.79,4.57,1.79
20200318:1011,91.27,120.33,27.79,5.21,2.21
20200318:1111,433.56,504.39,33.01,5.74,2.97
20200318:1211,142.94,178.83,35.83,6.51,3.31
20200318:1311,137.04,172.49,35.82,6.82,3.17
20200318:1411,128.9,163.47,32.97,7.02,3.24
20200318:1511,124.97,158.96,27.72,7,3.17
20200318:1611,85.02,113.86,20.71,6.85,3.03
20200318:1711,42.69,65,12.54,6.54,2.83
20200318:1811,5.53,16.64,3.71,6.13,2.48
20200318:1911,0,0,0,5.33,1.86
20200318:2011,0,0,0,4.87,1.93
20200318:2111,0,0,0,4.37,1.79
20200318:2211,0,0,0,3.98,1.66
20200318:2311,0,0,0,3.47,1.59
20200319:0011,0,0,0,3.06,1.66
20200319:0111,0,0,0,2.67,1.59
20200319:0211,0,0,0,2.09,1.52
20200319:0311,0,0,0,1.35,1.45
20200319:0411,0,0,0,0.79,1.38
20200319:0511,0,0,0,0.5,1.45
20200319:0611,0,0,0,0.41,1.45
20200319:0711,8.19,19.9,4.18,0.61,1.52
20200319:0811,232.32,277.95,13,1.5,1.1
20200319:0911,309.81,361.84,21.17,3.72,1.52
20200319:1011,371.33,432.31,28.18,5.06,2.34
20200319:1111,697.04,824.46,33.42,6.16,3.24
20200319:1211,795.36,954.09,36.23,6.92,3.45
20200319:1311,473.28,553.96,36.2,7.44,3.59
20200319:1411,379.03,443.78,33.33,7.56,3.79
20200319:1511,400.01,467.2,28.05,7.56,3.93
20200319:1611,374.81,442.84,21.01,7.61,3.93
20200319:1711,135.86,181.36,12.82,7.36,3.52
20200319:1811,8.31,22.24,3.99,6.75,3.31
20200319:1911,0,0,0,5.86,3.31
20200319:2011,0,0,0,5.06,3.31
20200319:2111,0,0,0,4.55,3.31
20200319:2211,0,0,0,4.09,3.38
20200319:2311,0,0,0,3.6,3.38
20200320:0011,0,0,0,3.11,3.38
20200320:0111,0,0,0,2.54,3.24
20200320:0211,0,0,0,1.91,3.1
20200320:0311,0,0,0,1.38,2.9
20200320:0411,0,0,0,0.9,2.83
20200320:0511,0,0,0,0.52,2.9
20200320:0611,0,0,0,0.28,2.9
20200320:0711,50.94,84.46,4.54,0.18,3.1
20200320:0811,315.99,369.92,13.37,0.96,2.9
20200320:0911,544.28,624.01,21.55,2.56,3.31
20200320:1011,734.22,857.09,28.57,4.13,3.72
20200320:1111,745.81,877.3,33.82,5.65,4.07
20200320:1211,672.28,789.15,36.64,7.03,4.48
20200320:1311,569.7,666.97,36.59,7.9,4.48
20200320:1411,223.64,269.5,33.69,8.16,4.41
20200320:1511,167.23,206.63,28.38,8.26,4.41
20200320:1611,159.08,197.52,21.31,7.92,4.41
20200320:1711,57.24,82.8,13.1,7.45,4.07
20200320:1811,7.21,19.24,4.26,6.66,3.72
20200320:1911,0,0,0,5.67,3.52
20200320:2011,0,0,0,4.82,3.45
20200320:2111,0,0,0,4.22,3.38
20200320:2211,0,0,0,3.94,3.31
20200320:2311,0,0,0,3.9,3.45
20200321:0011,0,0,0,3.74,3.79
20200321:0111,0,0,0,3.47,4.07
20200321:0211,0,0,0,3.24,4.07
20200321:0311,0,0,0,3.11,4.07
20200321:0411,0,0,0,3.06,4.14
20200321:0511,0,0,0,3.17,4.28
20200321:0611,0,0,0,3.23,4.48
20200321:0711,2.44,10.78,4.9,3.06,4.41
20200321:0811,25.51,43.1,13.73,3.31,4.34
20200321:0911,72.9,98.78,21.93,3.9,3.86
20200321:1011,109.96,140.26,28.97,4.48,5.52
20200321:1111,208.56,249.16,34.22,5.01,4.62
20200321:1211,146.17,181.48,37.04,5.71,4.48
20200321:1311,128.81,162.53,36.97,6.09,4.28
20200321:1411,134.29,168.81,34.05,6.33,4.07
20200321:1511,113.31,145.4,28.71,6.35,3.79
20200321:1611,82.07,110.28,21.61,6.26,2.83
20200321:1711,36.7,57.47,13.38,6.41,2.14
20200321:1811,1.04,8.08,4.53,6.35,1.93
20200321:1911,0,0,0,5.91,1.72
20200321:2011,0,0,0,5.38,1.72
20200321:2111,0,0,0,5.01,1.79
20200321:2211,0,0,0,4.63,1.93
20200321:2311,0,0,0,4,2
20200322:0011,0,0,0,3.74,2.14
20200322:0111,0,0,0,3.57,2.28
20200322:0211,0,0,0,3.4,2.41
20200322:0311,0,0,0,3.24,2.34
20200322:0411,0,0,0,2.92,2.21
20200322:0511,0,0,0,2.53,2.28
20200322:0611,0,0,0,2.1,2.34
20200322:0711,65.32,104.1,5.26,1.66,2.14
20200322:0811,302.84,358.94,14.1,2.65,1.86
20200322:0911,516.11,599.09,22.31,4.41,2.62
20200322:1011,400.38,464.28,29.36,6.11,3.79
20200322:1111,378.93,442.88,34.62,7.13,3.79
20200322:1211,422.39,495.88,37.44,8.07,3.66
20200322:1311,654.22,781.42,37.36,8.73,3.24
20200322:1411,724.76,875.1,34.4,9.12,2.97
20200322:1511,596.85,712.01,29.03,9.34,2.9
20200322:1611,417.08,500.03,21.91,9.38,2.76
20200322:1711,162.25,217.52,13.66,9.05,2.62
20200322:1811,9.97,31.4,4.8,8.13,2.21
20200322:1911,0,0,0,6.54,2
20200322:2011,0,0,0,5.22,2.07
20200322:2111,0,0,0,4.24,2.07
20200322:2211,0,0,0,3.49,2.14
20200322:2311,0,0,0,3.02,2.21
20200323:0011,0,0,0,2.82,2.41
20200323:0111,0,0,0,2.74,2.34
20200323:0211,0,0,0,2.7,2.07
20200323:0311,0,0,0,2.64,2.07
20200323:0411,0,0,0,2.64,2.07
20200323:0511,0,0,0,2.57,2.21
20200323:0611,0,0,0,2.58,2.21
20200323:0711,6.22,17.06,5.62,2.73,2.21
20200323:0811,153.35,189.62,14.47,3.9,2.28
20200323:0911,465.69,543.68,22.69,5.73,2.41
20200323:1011,498.26,582.34,29.75,7.49,3.52
20200323:1111,582.5,686.55,35.02,8.81,4.07
20200323:1211,720.66,865.46,37.84,9.65,3.86
20200323:1311,533.55,633.61,37.74,10.47,3.93
20200323:1411,242.42,294.04,34.76,10.72,4
20200323:1511,271.81,326.8,29.36,10.77,4.07
20200323:1611,53.09,78.12,22.2,10.45,3.86
20200323:1711,0,0,0,9.8,3.45
20200323:1811,11.79,26.78,5.07,9.03,3.59
20200323:1911,0,0,0,8.04,3.38
20200323:2011,0,0,0,7.24,3.45
20200323:2111,0,0,0,6.62,3.38
20200323:2211,0,0,0,6.12,3.31
20200323:2311,0,0,0,5.7,3.31
20200324:0011,0,0,0,5.36,3.45
20200324:0111,0,0,0,5.21,3.59
20200324:0211,0,0,0,5.19,3.66
20200324:0311,0,0,0,5.37,3.72
20200324:0411,0,0,0,5.52,3.86
20200324:0511,0,0,0,5.92,4
20200324:0611,0,0,0,6.37,4.07
20200324:0711,33.36,57.31,5.99,6.65,4.21
20200324:0811,191.08,233.7,14.84,6.97,4.69
20200324:0911,361.41,420.38,23.07,7.88,5.66
20200324:1011,558.84,652.21,30.14,8.76,5.03
20200324:1111,792.96,946.21,35.42,9.92,5.31
20200324:1211,857.94,1036.31,38.24,10.87,5.38
20200324:1311,797.37,959.71,38.13,11.39,5.31
20200324:1411,518.28,612.63,35.11,11.72,5.45
20200324:1511,364.97,432.96,29.68,11.63,5.31
20200324:1611,135.21,173.06,22.5,11.23,5.03
20200324:1711,67.46,96.17,14.21,10.53,4.48
20200324:1811,4.86,15.27,5.33,9.68,4.41
20200324:1911,0,0,0,8.75,4.28
20200324:2011,0,0,0,8.04,4.07
20200324:2111,0,0,0,7.77,3.93
20200324:2211,0,0,0,7.6,3.86
20200324:2311,0,0,0,7.51,3.86
20200325:0011,0,0,0,7.3,3.93
20200325:0111,0,0,0,7.18,3.86
20200325:0211,0,0,0,7.02,3.79
20200325:0311,0,0,0,6.95,3.59
20200325:0411,0,0,0,6.83,3.45
20200325:0511,0,0,0,6.7,3.24
20200325:0611,0,0,0,6.7,3.03
20200325:0711,80.62,123.94,6.35,6.79,2.55
20200325:0811,239.66,291.63,15.21,7.47,2.14
20200325:0911,410.5,483.52,23.44,9.11,3.38
20200325:1011,651.51,779.84,30.53,10.69,3.66
20200325:1111,690.07,835.52,35.82,11.88,3.72
20200325:1211,790.78,975.01,38.64,12.48,3.52
20200325:1311,677.22,828.94,38.51,13.08,3.24
20200325:1411,601.96,735.59,35.47,13.1,2.55
20200325:1511,347.53,421.69,30,13.39,2.41
20200325:1611,365.24,448.77,22.79,13.49,1.93
20200325:1711,169.58,232.69,14.49,12.97,1.38
20200325:1811,11.74,34.4,5.6,12.23,1.31
20200325:1911,0,0,0,11.33,0.34
20200325:2011,0,0,0,10.53,0.48
20200325:2111,0,0,0,9.28,0.83
20200325:2211,0,0,0,8.29,1.03
20200325:2311,0,0,0,8.14,0.76
20200326:0011,0,0,0,8.13,0.34
20200326:0111,0,0,0,6.9,0.69
20200326:0211,0,0,0,6.7,0.97
20200326:0311,0,0,0,7,1.24
20200326:0411,0,0,0,7.15,1.38
20200326:0511,0,0,0,7.11,1.52
20200326:0611,0,0,0,7.02,1.59
20200326:0711,40.54,66.36,6.71,6.5,1.31
20200326:0811,94.12,124.85,15.57,7.43,2.14
20200326:0911,141.43,178.78,23.82,8.85,2.14
20200326:1011,222.41,272.14,30.92,10.39,2.14
20200326:1111,279.26,339.71,36.22,11.66,2.14
20200326:1211,420.21,508.92,39.04,12.8,2.34
20200326:1311,675.99,838,38.89,13.36,2.34
20200326:1411,705.2,877.23,35.82,13.87,2.41
20200326:1511,512.75,626.06,30.32,14.14,2.34
20200326:1611,308.5,379.53,23.09,13.81,2.28
20200326:1711,147.26,200.75,14.76,13.37,2.34
20200326:1811,15.7,32.78,5.87,12.46,2.48
20200326:1911,0,0,0,11.42,2.28
20200326:2011,0,0,0,10.11,2.41
20200326:2111,0,0,0,9.07,2.41
20200326:2211,0,0,0,8.18,2.28
20200326:2311,0,0,0,7.35,2.14
20200327:0011,0,0,0,6.65,2.07
20200327:0111,0,0,0,6.03,2.07
20200327:0211,0,0,0,5.3,2.07
20200327:0311,0,0,0,4.75,2.07
20200327:0411,0,0,0,4.26,2
20200327:0511,0,0,0,3.87,2
20200327:0611,0,0,0,3.57,1.93
20200327:0711,35.55,57.99,7.07,3.67,2.14
20200327:0811,94.75,124.1,15.94,4.75,2.48
20200327:0911,162.47,199.45,24.2,5.76,2.9
20200327:1011,421.76,493.62,31.31,6.99,2.9
20200327:1111,828.38,1006.17,36.62,8.48,3.38
20200327:1211,796.39,971.58,39.43,10.38,3.59
20200327:1311,711.7,863.41,39.27,11.67,3.79
20200327:1411,424.62,508.03,36.17,12.37,3.79
20200327:1511,234.27,287.16,30.64,12.7,3.86
20200327:1611,305.63,370.93,23.38,12.37,3.86
20200327:1711,132.61,178.85,15.04,11.72,3.66
20200327:1811,19.39,41.78,6.13,10.94,3.72
20200327:1911,0,0,0,10.15,3.38
20200327:2011,0,0,0,9.34,3.24
20200327:2111,0,0,0,8.76,3.24
20200327:2211,0,0,0,8.16,3.24
20200327:2311,0,0,0,7.58,3.17
20200328:0011,0,0,0,6.86,2.97
20200328:0111,0,0,0,6.46,2.9
20200328:0211,0,0,0,6.06,2.97
20200328:0311,0,0,0,5.93,3.17
20200328:0411,0,0,0,5.86,3.31
20200328:0511,0,0,0,5.84,3.45
20200328:0611,0,0,0,5.71,3.72
20200328:0711,26.62,45.9,7.43,5.64,3.86
20200328:0811,131.87,166.36,16.3,6.24,4.14
20200328:0911,352.82,410.47,24.57,7.06,4.9
20200328:1011,716.08,841.09,31.7,8.1,5.1
20200328:1111,519.42,606.95,37.02,8.71,5.1
20200328:1211,538.05,631.34,39.83,9.16,5.03
20200328:1311,769.79,917.84,39.65,9.38,5.03
20200328:1411,562.24,660.06,36.52,9.54,5.17
20200328:1511,527.53,617.32,30.96,9.49,5.38
20200328:1611,419.45,495.6,23.67,9.08,5.38
20200328:1711,181.08,239.79,15.31,8.57,5.17
20200328:1811,21.54,42.05,6.4,8.01,4.69
20200328:1911,0,0,0,7.17,4.34
20200328:2011,0,0,0,6.44,4.21
20200328:2111,0,0,0,5.7,4.21
20200328:2211,0,0,0,5.12,4.21
20200328:2311,0,0,0,4.65,4.28
20200329:0011,0,0,0,4.16,4.28
20200329:0111,0,0,0,3.77,4.21
20200329:0211,0,0,0,3.41,4.21
20200329:0311,0,0,0,3.12,4.14
20200329:0411,0,0,0,2.87,4.21
20200329:0511,0,0,0,2.65,4.28
20200329:0611,0,0,0,2.23,4.07
20200329:0711,118.22,169.04,7.79,2.02,3.86
20200329:0811,265.96,312.12,16.67,2.36,4
20200329:0911,270.2,312.84,24.95,3.18,5.31
20200329:1011,630.51,723.29,32.09,3.88,4.83
20200329:1111,677.36,783.76,37.42,4.6,4.83
20200329:1211,788.35,925.42,40.23,5.13,4.69
20200329:1311,779.64,918.65,40.03,5.88,4.55
20200329:1411,781.36,922.8,36.87,6.37,4.34
20200329:1511,640.23,747.57,31.27,6.59,4.28
20200329:1611,449.56,527.52,23.96,6.5,4.28
20200329:1711,180.67,236.06,15.58,6.26,4.28
20200329:1811,18.2,46.44,6.66,5.76,3.79
20200329:1911,0,0,0,4.31,3.38
20200329:2011,0,0,0,3.58,3.31
20200329:2111,0,0,0,3.14,3.31
20200329:2211,0,0,0,2.84,3.24
20200329:2311,0,0,0,2.52,2.97
20200330:0011,0,0,0,2.21,2.69
20200330:0111,0,0,0,1.83,2.55
20200330:0211,0,0,0,1.46,2.34
20200330:0311,0,0,0,1.28,2.21
20200330:0411,0,0,0,1.22,2.21
20200330:0511,0,0,0,1.14,2.28
20200330:0611,0,0,0,1.18,2.34
20200330:0711,59.8,88.58,8.15,1.42,2.48
20200330:0811,116.49,147.44,17.03,3.07,2.48
20200330:0911,170.48,207.28,25.32,4.68,3.17
20200330:1011,304.46,356.44,32.47,6.24,4.28
20200330:1111,115.23,148.16,37.81,7.52,4.69
20200330:1211,173.46,213.66,40.62,7.88,4.69
20200330:1311,126.77,161.63,40.41,8.27,4.69
20200330:1411,81.44,110.45,37.22,8.67,4.55
20200330:1511,117.51,151.53,31.59,8.81,4.48
20200330:1611,90.43,120.87,24.25,8.83,4
20200330:1711,72.97,101.5,15.85,8.62,3.86
20200330:1811,16.67,32.88,6.92,8.07,3.59
20200330:1911,0,0,0,6.76,3.31
20200330:2011,0,0,0,6.19,3.24
20200330:2111,0,0,0,5.79,3.1
20200330:2211,0,0,0,5.49,3.1
20200330:2311,0,0,0,4.91,3.03
20200331:0011,0,0,0,4.47,3.03
20200331:0111,0,0,0,3.91,2.9
20200331:0211,0,0,0,3.38,2.62
20200331:0311,0,0,0,2.91,2.55
20200331:0411,0,0,0,2.57,2.48
20200331:0511,0,0,0,2.3,2.48
20200331:0611,0,0,0,2.12,2.48
20200331:0711,88.65,127.05,8.51,2.78,2.62
20200331:0811,213.99,256.27,17.39,3.93,3.31
20200331:0911,199.8,239.98,25.69,5.24,3.24
20200331:1011,400,466.72,32.86,6.39,3.17
20200331:1111,592.52,699.78,38.21,7.59,3.31
20200331:1211,129.05,164.33,41.01,7.93,3.24
20200331:1311,155.91,194.76,40.79,8.15,3.24
20200331:1411,147.05,184.83,37.56,8.18,3.1
20200331:1511,230.64,278.36,31.9,8.14,2.97
20200331:1611,152.5,190.92,24.53,8.11,2.9
20200331:1711,96.03,129.22,16.12,7.91,2.76
20200331:1811,18.04,34.64,7.18,7.57,2.41
20200331:1911,0,0,0,6.97,2.34
20200331:2011,0,0,0,6.45,2.21
20200331:2111,0,0,0,6.02,2.21
20200331:2211,0,0,0,5.82,2.07
20200331:2311,0,0,0,5.33,1.93
20200401:0011,0,0,0,5.1,1.79
20200401:0111,0,0,0,4.74,1.86
20200401:0211,0,0,0,4.43,1.86
20200401:0311,0,0,0,4.13,1.72
20200401:0411,0,0,0,3.74,1.66
20200401:0511,0,0,0,3.2,1.72
20200401:0611,0,0,0,3,1.66
20200401:0711,50.76,76.47,8.86,3.58,1.72
20200401:0811,214.6,258.7,17.76,4.53,1.93
20200401:0911,181.12,220.3,26.06,5.81,2.76
20200401:1011,75.75,103.27,33.24,6.8,3.17
20200401:1111,77.84,105.96,38.6,7.52,3.24
20200401:1211,154.78,193.06,41.41,7.63,3.38
20200401:1311,68.31,95.18,41.16,8.1,3.52
20200401:1411,162.99,202.64,37.91,8.2,3.52
20200401:1511,219.04,265.32,32.21,8.54,3.66
20200401:1611,219.27,266.46,24.82,8.68,3.66
20200401:1711,87.55,119.05,16.39,8.6,3.17
20200401:1811,22.74,41.34,7.44,8.27,2.62
20200401:1911,0,0,0,7.47,2.34
20200401:2011,0,0,0,6.82,2.14
20200401:2111,0,0,0,6.36,2
20200401:2211,0,0,0,6.13,2
20200401:2311,0,0,0,6.04,2.14
20200402:0011,0,0,0,6.1,2.34
20200402:0111,0,0,0,6.19,2.48
20200402:0211,0,0,0,6.24,2.48
20200402:0311,0,0,0,6.26,2.55
20200402:0411,0,0,0,6.24,2.69
20200402:0511,0,0,0,6.46,2.97
20200402:0611,0,0,0,6.58,3.17
20200402:0711,75.91,110.71,9.22,6.92,3.86
20200402:0811,286.69,342.41,18.11,7.39,4.07
20200402:0911,430.78,499.89,26.43,8.26,5.93
20200402:1011,273.04,324.7,33.62,9.26,5.93
20200402:1111,224.15,271.36,38.99,9.41,5.38
20200402:1211,259.06,311.38,41.8,10.1,5.72
20200402:1311,167.69,209.11,41.53,10.31,5.66
20200402:1411,43.43,66.45,38.25,10.34,5.79
20200402:1511,94.09,125.71,32.52,10.45,5.52
20200402:1611,238.3,289.07,25.1,10.21,4.9
20200402:1711,54.91,80.14,16.65,9.54,3.45
20200402:1811,14.59,29.63,7.7,8.83,3.52
20200402:1911,0,0,0,7.7,3.31
20200402:2011,0,0,0,7.41,2.76
20200402:2111,0,0,0,7,2.41
20200402:2211,0,0,0,6.71,2.34
20200402:2311,0,0,0,6.33,2.21
20200403:0011,0,0,0,5.73,2.07
20200403:0111,0,0,0,5.19,2
20200403:0211,0,0,0,4.88,1.93
20200403:0311,0,0,0,4.77,1.86
20200403:0411,0,0,0,4.72,1.72
20200403:0511,0,0,0,4.75,1.59
20200403:0611,0,0,0,4.86,1.59
20200403:0711,43.64,67.15,9.57,5.69,1.59
20200403:0811,266.07,319.32,18.47,6.67,2.55
20200403:0911,423.18,497.1,26.8,7.62,2.83
20200403:1011,292.33,348.1,34,8.41,3.03
20200403:1111,359.92,426.94,39.38,9.06,3.24
20200403:1211,299.86,358.93,42.19,9.75,3.72
20200403:1311,287.21,344.72,41.91,10.15,4.07
20200403:1411,265.61,320.23,38.59,10.15,3.72
20200403:1511,141.42,179.7,32.83,10.1,3.59
20200403:1611,143.31,181.87,25.38,9.84,3.03
20200403:1711,75.97,105.47,16.92,9.51,2.41
20200403:1811,10.12,23.35,7.96,9,1.52
20200403:1911,0,0,0,8.28,1.45
20200403:2011,0,0,0,7.77,1.17
20200403:2111,0,0,0,7.38,1.1
20200403:2211,0,0,0,7.04,1.17
20200403:2311,0,0,0,6.81,1.45
20200404:0011,0,0,0,6.55,1.72
20200404:0111,0,0,0,6.31,2
20200404:0211,0,0,0,5.9,2.14
20200404:0311,0,0,0,5.44,2.28
20200404:0411,0,0,0,5.04,2.28
20200404:0511,0,0,0,4.95,2.34
20200404:0611,0,0,0,4.95,2.28
20200404:0711,112.09,157.55,9.92,5.44,2.62
20200404:0811,140.85,176.69,18.83,6.28,2.62
20200404:0911,154.22,191.4,27.16,7.58,4.83
20200404:1011,154.71,192.97,34.38,8.51,5.1
20200404:1111,201.97,246.68,39.77,9.44,5.45
20200404:1211,266.32,318.9,42.57,9.5,5.59
20200404:1311,239.88,289.59,42.28,9.75,5.59
20200404:1411,442.21,519.84,38.93,10.23,5.66
20200404:1511,339.99,402.43,33.14,10.71,6.21
20200404:1611,229.08,278.76,25.66,10.73,5.79
20200404:1711,115.6,153.88,17.18,10.41,5.38
20200404:1811,13.21,27.84,8.22,10.07,5.1
20200404:1911,0,0,0,9.48,4.41
20200404:2011,0,0,0,8.63,4.55
20200404:2111,0,0,0,8.27,4.62
20200404:2211,0,0,0,8.18,4.76
20200404:2311,0,0,0,8.49,4.97
20200405:0011,0,0,0,8.49,5.03
20200405:0111,0,0,0,8.47,5.1
20200405:0211,0,0,0,8.18,5.03
20200405:0311,0,0,0,8,5.03
20200405:0411,0,0,0,7.97,5.03
20200405:0511,0,0,0,8.24,5.1
20200405:0611,0,0,0,8.57,4.97
20200405:0711,6.56,17.96,10.27,8.86,5.38
20200405:0811,75.44,104.03,19.18,9.93,5.38
20200405:0911,216.75,264,27.53,11.06,5.45
20200405:1011,37.28,59.27,34.76,11.7,6.21
20200405:1111,135.09,173.31,40.16,12,6.76
20200405:1211,34.28,55.67,42.96,12.41,8.76
20200405:1311,43.8,67.35,42.64,12.21,7.79
20200405:1411,77.1,106.86,39.27,12.46,8.62
20200405:1511,43.81,67.35,33.44,11.99,5.59
20200405:1611,26.57,45.8,25.94,11.5,6.21
20200405:1711,15.08,30.53,17.44,10.95,6.9
20200405:1811,0.99,8.08,8.47,11.1,6.62
20200405:1911,0,0,0,10.86,6.28
20200405:2011,0,0,0,10.66,5.93
20200405:2111,0,0,0,10.02,5.24
20200405:2211,0,0,0,9.15,4.97
20200405:2311,0,0,0,8.35,4.83
20200406:0011,0,0,0,7.84,4.55
20200406:0111,0,0,0,7.61,4.48
20200406:0211,0,0,0,7.27,4.28
20200406:0311,0,0,0,6.81,3.86
20200406:0411,0,0,0,6.45,3.66
20200406:0511,0,0,0,6.08,3.59
20200406:0611,0,2.49,1.59,5.65,3.38
20200406:0711,91,127.74,10.62,5.83,3.45
20200406:0811,345.25,410.65,19.53,6.85,2.97
20200406:0911,535.33,623.65,27.89,8.04,4.83
20200406:1011,545.07,638.82,35.13,9.02,4.83
20200406:1111,735.02,878.14,40.54,10.13,4.9
20200406:1211,288.71,346.77,43.34,10.71,4.69
20200406:1311,124.2,160.74,43.01,11.14,4.34
20200406:1411,244.52,297.86,39.6,11.4,4
20200406:1511,250.88,304.7,33.75,11.51,4.14
20200406:1611,351.89,423.83,26.22,11.16,3.66
20200406:1711,198.03,265.78,17.7,10.71,3.03
20200406:1811,26.88,57.04,8.73,10.28,2.28
20200406:1911,0,0,0,8.98,1.93
20200406:2011,0,0,0,7.85,1.52
20200406:2111,0,0,0,6.64,1.38
20200406:2211,0,0,0,5.71,1.24
20200406:2311,0,0,0,5.14,1.24
20200407:0011,0,0,0,4.42,1.31
20200407:0111,0,0,0,3.46,1.59
20200407:0211,0,0,0,3.07,1.79
20200407:0311,0,0,0,2.73,1.79
20200407:0411,0,0,0,2.34,1.72
20200407:0511,0,0,0,2.05,1.72
20200407:0611,0.11,5.8,1.93,1.86,1.79
20200407:0711,124.47,170.17,10.96,3.2,2
20200407:0811,343.76,409.68,19.88,6.16,2
20200407:0911,527.82,623.12,28.25,8.31,3.03
20200407:1011,385.27,454.56,35.5,9.7,4.41
20200407:1111,724.76,871.73,40.92,10.4,4.21
20200407:1211,809.78,988.09,43.73,11.21,4.21
20200407:1311,817.23,998.4,43.37,11.88,4.41
20200407:1411,710.98,857.73,39.94,12.26,4.62
20200407:1511,585.27,698.89,34.05,12.23,4.62
20200407:1611,420.16,505.84,26.49,11.94,4.28
20200407:1711,154.91,204.9,17.96,11.5,3.79
20200407:1811,34.99,60.99,8.98,10.78,2.83
20200407:1911,0,0,0,9.79,2.62
20200407:2011,0,0,0,8.59,2.41
20200407:2111,0,0,0,7.63,2.21
20200407:2211,0,0,0,6.94,2
20200407:2311,0,0,0,6.49,1.93
20200408:0011,0,0,0,6.13,1.79
20200408:0111,0,0,0,5.73,1.66
20200408:0211,0,0,0,5.23,1.52
20200408:0311,0,0,0,4.31,1.31
20200408:0411,0,0,0,3.27,0.97
20200408:0511,0,0,0,2.55,0.83
20200408:0611,0.79,7.46,2.28,2.34,0.83
20200408:0711,127.8,174.57,11.31,3.17,0.9
20200408:0811,363.43,436.64,20.23,5.85,0.76
20200408:0911,560.76,679.99,28.61,8.52,0.97
20200408:1011,699.04,872.13,35.87,10.61,1.17
20200408:1111,772.05,985.03,41.31,12.06,1.24
20200408:1211,796,1026.79,44.11,13.22,1.31
20200408:1311,780.97,1003.74,43.74,14.07,1.52
20200408:1411,706.88,897.43,40.27,14.63,1.52
20200408:1511,574.44,719.2,34.34,15.03,1.24
20200408:1611,346.55,433.34,26.77,15.07,0.83
20200408:1711,148.22,201.22,18.22,14.9,0.55
20200408:1811,31.49,53.74,9.24,14.43,0.41
20200408:1911,0,0,0,13.25,0.55
20200408:2011,0,0,0,11.38,1.03
20200408:2111,0,0,0,9.59,1.38
20200408:2211,0,0,0,8.18,1.59
20200408:2311,0,0,0,7.33,1.66
20200409:0011,0,0,0,6.62,1.59
20200409:0111,0,0,0,6.06,1.52
20200409:0211,0,0,0,5.59,1.45
20200409:0311,0,0,0,5.25,1.45
20200409:0411,0,0,0,5.1,1.52
20200409:0511,0,0,0,4.98,1.59
20200409:0611,1.15,8.29,2.62,4.82,1.59
20200409:0711,61.14,87.98,11.65,5.05,0.9
20200409:0811,311.87,376.4,20.57,7.48,1.1
20200409:0911,476.55,574.81,28.96,9.82,1.24
20200409:1011,543.07,662.95,36.24,12.23,1.79
20200409:1111,694.57,869.28,41.68,13.83,2.07
20200409:1211,730.16,923.01,44.48,15.29,2.34
20200409:1311,683.68,858.64,44.09,16.3,2.69
20200409:1411,618.76,768.58,40.6,16.99,3.17
20200409:1511,216.32,272.93,34.64,17.24,3.38
20200409:1611,266.59,333.36,27.04,17.03,3.17
